Location,Type,Rooms,Price
VI,flat apartment,3,3000000
Lekki,terraced duplex,4,3000000
Ajah,terraced duplex,4,2800000
Lekki,detached duplex,5,4500000
Lekki,flat apartment,2,2000000
Lekki,flat apartment,4,4000000
Lekki,semi-detached duplex,4,3500000
Lekki,semi-detached duplex,4,3500000
Lekki,semi-detached duplex,4,3500000
Lekki,terraced duplex,5,3800000
Ikeja,terraced duplex,4,3500000
Lekki,terraced duplex,4,3000000
Lekki,detached duplex,4,4000000
Lekki,detached duplex,4,3500000
Ikoyi,terraced duplex,4,10000000
Ajah,semi-detached duplex,4,2700000
Lekki,terraced duplex,4,3000000
Ketu,semi-detached duplex,2,1000000
Lekki,detached duplex,5,7500000
Magodo,semi-detached duplex,4,3000000
Lekki,terraced duplex,4,4000000
Lekki,terraced duplex,4,2800000
Lekki,terraced duplex,4,2800000
Lekki,terraced duplex,4,3000000
Lekki,semi-detached duplex,4,3000000
VI,flat apartment,4,7500000
Lekki,flat apartment,4,4000000
Ajah,semi-detached bungalow,2,450000
Ajah,semi-detached duplex,4,2500000
Lekki,terraced duplex,4,3000000
Lekki,terraced duplex,4,3000000
Lekki,semi-detached duplex,4,4000000
Lekki,semi-detached duplex,4,4000000
Lekki,terraced duplex,4,2200000
Lekki,terraced duplex,4,2200000
Ikoyi,terraced duplex,4,14500000
Lekki,detached duplex,5,3500000
Lekki,detached duplex,5,6500000
Lekki,terraced duplex,4,3500000
Ikoyi,terraced duplex,4,10000000
VI,semi-detached duplex,6,20000000
Ajah,flat apartment,1,230000
Lekki,detached duplex,5,8000000
Lekki,detached duplex,5,4500000
Lekki,detached duplex,4,4000000
Lekki,detached duplex,5,4500000
Ikoyi,detached duplex,5,20000000
Lekki,semi-detached duplex,6,5000000
VI,terraced duplex,4,20000000
Lekki,terraced duplex,4,3000000
Ikoyi,semi-detached duplex,4,8000000
Lekki,semi-detached duplex,5,1700000
Lekki,terraced duplex,4,3000000
Ikorodu,flat apartment,1,180000
Ikorodu,flat apartment,1,270000
Lekki,detached duplex,5,5000000
Lekki,detached duplex,5,4500000
Lekki,detached duplex,4,4000000
Yaba,flat apartment,2,3000000
Lekki,detached duplex,4,4000000
Lekki,detached duplex,5,4500000
Ajah,terraced duplex,4,1800000
