,Type,Rooms,Location,Price
349,semi-detached duplex,4,Lekki,3000000
350,house for,5,Lekki,6500000
351,detached duplex,5,Magodo,6000000
352,detached duplex,4,Lekki,3800000
353,house for,3,Lekki,3000000
354,semi-detached duplex,4,Lekki,40000000
355,detached duplex,5,Lekki,5000000
356,house for,4,Lekki,2800000
357,house for,4,Lekki,4000000
358,semi-detached duplex,4,Lekki,3500000
359,house for,3,Lekki,3500000
360,house for,3,Lekki,3000000
361,house for,1,Yaba,150000
362,terraced duplex,3,Ikoyi,15000000
363,terraced duplex,4,Lekki,3000000
364,terraced duplex,4,Lekki,4500000
365,semi-detached bungalow,4,Lekki,3500000
366,detached duplex,5,Lekki,4500000
367,detached duplex,4,Lekki,4500000
368,detached duplex,4,Lekki,3800000
369,detached duplex,4,Ajah,4000000
370,terraced duplex,3,(VI),4000000
371,detached duplex,5,Lekki,4500000
372,terraced duplex,4,Lekki,3000000
373,semi-detached duplex,4,Lekki,1700000
374,semi-detached duplex,4,Lekki,4000000
375,semi-detached duplex,4,Ilupeju,6000000
376,detached duplex,5,Lekki,4500000
377,detached duplex,5,Ajah,1500000
378,house for,4,Lekki,4000000
379,terraced duplex,4,Lekki,3500000
380,detached duplex,4,Ipaja,800000
381,terraced duplex,5,(VI),5000000
382,semi-detached duplex,4,Lekki,4500000
383,detached duplex,4,Lekki,3500000
384,detached duplex,4,Lekki,3800000
385,house for,2,Lekki,1600000
386,detached duplex,5,Lekki,6500000
387,terraced duplex,3,Lekki,2500000
388,terraced duplex,4,Lekki,4500000
389,terraced duplex,3,Lekki,2500000
390,semi-detached duplex,4,Lekki,4500000
391,terraced duplex,4,Lekki,5000000
392,terraced duplex,3,Lekki,3500000
393,semi-detached duplex,4,Lekki,3500000
394,detached duplex,5,Lekki,4500000
395,house for,4,(VI),4500000
396,terraced duplex,4,Lekki,3000000
397,detached duplex,5,Lekki,4000000
398,terraced duplex,4,(VI),4500000
399,terraced duplex,3,Lekki,1500000
400,detached duplex,3,Lekki,3000000
401,detached duplex,5,Lekki,4500000
402,detached duplex,5,Lekki,12000000
403,house for,5,(VI),9000000
404,detached duplex,4,Lekki,4000000
405,semi-detached duplex,4,Lekki,3000000
406,detached duplex,5,Ikeja,5000000
407,terraced duplex,5,Ikeja,8000000
408,semi-detached duplex,4,Ikeja,7000000
409,detached bungalow,4,Ajah,1400000
410,detached duplex,4,Lekki,4000000
411,house for,3,Lekki,700000
412,detached duplex,4,Lekki,3500000
413,house for,3,Lekki,1800000
414,semi-detached duplex,4,Lekki,4000000
415,semi-detached duplex,4,Ikeja,3000000
416,semi-detached duplex,3,Lekki,2500000
417,terraced duplex,4,Lekki,6000000
418,terraced duplex,4,Lekki,3500000
419,house for,2,(VI),3500000
420,house for,4,Lekki,4000000
421,terraced duplex,4,(VI),7000000
422,house for,3,(VI),7000000
423,terraced duplex,4,Lekki,3000000
424,detached duplex,9,(VI),11000000
425,rent,House,Lekki,3000000
426,house for,1,Yaba,650000
427,detached duplex,4,Ajah,2500000
428,terraced duplex,2,Ajah,1500000
429,house for,3,Ikoyi,11000000
430,house for,2,Magodo,2000000
431,detached duplex,2,Magodo,1800000
432,detached duplex,5,Island,4500000
433,semi-detached duplex,4,Lekki,3500000
434,semi-detached duplex,4,Lekki,3500000
435,semi-detached duplex,4,Ikoyi,8000000
436,detached duplex,4,North,1800000
437,detached duplex,3,Alimosho,1500000
438,house for,1,Yaba,600000
439,semi-detached duplex,4,Lekki,3200000
440,house for,3,Yaba,3500000
441,house for,4,Lekki,4000000
442,house for,2,Lekki,2200000
443,semi-detached duplex,4,Lekki,6000000
444,terraced duplex,3,Lekki,3500000
445,terraced duplex,4,Lekki,50000000
446,semi-detached bungalow,4,Ikoyi,9000000
447,semi-detached duplex,4,Lekki,3500000
448,semi-detached duplex,4,Lekki,3500000
449,terraced duplex,4,Lekki,3000000
450,semi-detached duplex,4,Lekki,3500000
451,terraced duplex,4,Lekki,4500000
452,terraced duplex,4,Lekki,3000000
453,terraced duplex,4,Lekki,3000000
454,semi-detached duplex,4,Lekki,3700000
455,terraced duplex,3,Lekki,2500000
456,semi-detached duplex,4,Lekki,3500000
457,terraced duplex,3,Lekki,3500000
458,detached duplex,5,Lekki,4200000
459,semi-detached duplex,5,(VI),8500000
460,semi-detached duplex,4,Lekki,7000000
461,semi-detached duplex,4,Lekki,48000000
462,terraced duplex,3,Lekki,1500000
463,terraced duplex,4,Lekki,3000000
464,semi-detached duplex,4,Lekki,3500000
465,detached duplex,5,Lekki,3800000
466,semi-detached duplex,4,Lekki,4200000
467,detached duplex,5,Lekki,3000000
468,detached duplex,5,Lekki,3500000
469,semi-detached duplex,4,Lekki,3500000
470,detached duplex,3,(VI),7500000
471,house for,5,Ikeja,4500000
472,terraced duplex,3,Lekki,2500000
473,semi-detached duplex,4,Lekki,4000000
474,semi-detached duplex,4,Ikeja,3000000
475,terraced duplex,3,Lekki,5000000
476,terraced duplex,4,Lekki,3300000
477,semi-detached duplex,4,Ikoyi,10000000
478,terraced duplex,3,Lekki,2500000
479,detached duplex,7000000,Lekki,7000000
480,semi-detached duplex,4,Lekki,4000000
481,semi-detached duplex,4,Ikoyi,5000000
482,semi-detached duplex,4,Lekki,3500000
483,semi-detached duplex,6,Lekki,5000000
484,semi-detached duplex,4,Lekki,3500000
485,detached duplex,5,Lekki,4000000
486,detached duplex,4,Lekki,3500000
487,semi-detached duplex,5,(VI),8500000
488,semi-detached duplex,4,Lekki,3500000
489,terraced duplex,4,Lekki,3000000
490,house for,3,(VI),4000000
491,semi-detached duplex,5,(VI),8500000
492,detached duplex,5,Lekki,6000000
493,house for,4,Lekki,3500000
494,detached duplex,5,Ikeja,5000000
495,detached duplex,5,Ikeja,5000000
496,semi-detached duplex,4,Lekki,2500000
497,semi-detached duplex,3,Lekki,3000000
498,detached duplex,4,(VI),10000000
499,semi-detached duplex,5,Ikoyi,17000000
500,terraced duplex,4,(VI),4000000
501,semi-detached bungalow,3,Ajah,1300000
502,detached duplex,5,Magodo,5500000
503,terraced duplex,5,Lekki,3200000
504,house for,4,Lekki,4000000
505,semi-detached duplex,3,Lekki,2500000
506,terraced duplex,4,Lekki,3000000
507,terraced duplex,4,Lekki,3500000
508,detached duplex,4,Isheri,1000000
509,terraced duplex,4,Lekki,3500000
510,terraced duplex,4,(VI),5000000
511,semi-detached duplex,4,Lekki,3500000
512,semi-detached duplex,4,Ikoyi,15000000
513,house for,3,Magodo,1500000
514,detached duplex,4,Lekki,4000000
515,detached duplex,5,Ikorodu,2000000
516,semi-detached duplex,4,Lekki,3000000
517,semi-detached duplex,5,Ikeja,3000000
518,detached duplex,4,Ikeja,8000000
519,detached duplex,4,Ajah,2500000
520,semi-detached duplex,4,Lekki,3500000
521,semi-detached duplex,3,Surulere,3500000
522,terraced duplex,4,Lekki,3500000
523,detached duplex,4,Lekki,4500000
524,house for,1,Lekki,700000
525,house for,4,Lekki,4000000
526,semi-detached duplex,4,Ikoyi,12500000
527,detached duplex,5,Lekki,5000000
528,house for,3,(VI),3500000
529,detached duplex,5,Lekki,6000000
530,house for,3,Ikoyi,3000000
531,semi-detached bungalow,2,Ikoyi,3500000
532,semi-detached duplex,3,Lekki,3200000
533,semi-detached duplex,3,Lekki,4000000
534,terraced duplex,4,Lekki,3000000
535,terraced duplex,4,(VI),5000000
536,terraced duplex,4,(VI),5000000
537,detached duplex,4,Lekki,3500000
538,semi-detached duplex,4,Lekki,7000000
539,detached duplex,5,Lekki,4500000
540,semi-detached duplex,4,Lekki,3500000
541,terraced duplex,4,Lekki,7000000
542,terraced duplex,4,Ikoyi,15000000
543,house for,3,(VI),3600000
544,detached bungalow,4,Magodo,2800000
545,house for,2,Ajah,650000
546,house for,4,Lekki,4000000
547,detached duplex,5,Lekki,8500000
548,semi-detached duplex,3,Lekki,4000000
549,terraced duplex,4,Lekki,4500000
550,detached duplex,4,Lekki,3300000
551,detached duplex,4,Ajah,4500000
552,semi-detached duplex,4,Lekki,3000000
553,terraced duplex,3,Lekki,2700000
554,house for,4,Lekki,3000000
555,detached duplex,4,Lekki,300000000
556,semi-detached duplex,3,Lekki,4000000
557,detached duplex,8,(VI),25000000
558,detached duplex,5,Ikeja,13000000
559,terraced duplex,4,Lekki,3000000
560,detached duplex,4,Lekki,3500000
561,detached duplex,5,Lekki,3500000
562,detached duplex,5,Lekki,4500000
563,terraced duplex,4,Lekki,3000000
564,terraced duplex,4,Ikoyi,6500000
565,semi-detached duplex,5,(VI),8000000
566,terraced duplex,3,Lekki,5500000
567,semi-detached duplex,6,Lekki,5000000
568,for rent,Semi-detached,Lekki,4000000
569,detached duplex,5,Lekki,6000000
570,semi-detached duplex,4,Lekki,3000000
571,semi-detached duplex,4,Ikoyi,230000000
572,semi-detached duplex,4,Lekki,5000000
573,detached duplex,6,(VI),7000000
574,terraced duplex,4,Lekki,4500000
575,semi-detached duplex,4,Lekki,3500000
576,semi-detached duplex,4,Lekki,3000000
